dataset_name,dataset_scale,hits_at_10,hits_at_100,hits_at_50,memory_delta_mb,memory_mb,method_name,runtime_seconds,seed,split,status,timestamp
ogbl-collab,0.1,0.09922510738414383,0.29914308532452677,0.2320145049537007,368.26953125,2189.66796875,gcn,51.17571421199955,42,test,completed,20260503_123701
ogbl-collab,0.1,0.12422608348312363,0.3491944610878104,0.27248518740430067,368.26953125,2189.66796875,gcn,51.17571421199955,42,valid,completed,20260503_123701
ogbl-collab,0.5,0.22171857799650327,0.4740875045867599,0.41747069869843945,7.82421875,2196.578125,gcn,411.28384122900025,42,test,completed,20260503_124352
ogbl-collab,0.5,0.28749750349510683,0.5520105186072831,0.49615538246454965,7.82421875,2196.578125,gcn,411.28384122900025,42,valid,completed,20260503_124352
ogbl-collab,1.0,0.2939195752120702,0.5286537589846533,0.45504975285458354,2.2421875,2191.6015625,gcn,1144.6654320439993,42,test,completed,20260503_130257
ogbl-collab,1.0,0.3624259370215032,0.6123094334598229,0.5395779242393982,2.2421875,2191.6015625,gcn,1144.6654320439993,42,valid,completed,20260503_130257
ogbl-collab,0.1,0.07435947246864814,0.07537395583759632,0.0746400742515487,32.36328125,1824.59765625,common_neighbors,0.41398026699971524,42,test,completed,20260503_134537
ogbl-collab,0.1,0.10442047799747022,0.10538579322282138,0.10490313561014579,32.36328125,1824.59765625,common_neighbors,0.41398026699971524,42,valid,completed,20260503_134537
ogbl-collab,0.1,0.085756221804917,0.2769755444753826,0.19875240130371905,1023.0390625,2923.484375,gcn,51.71311329799937,42,test,completed,20260503_134703
ogbl-collab,0.1,0.1073497104054324,0.3188369615871114,0.23605285933027095,1023.0390625,2923.484375,gcn,51.71311329799937,42,valid,completed,20260503_134703
ogbl-collab,1.0,2.1584752530812233e-05,0.00047486455567786914,0.00021584752530812235,1145.4609375,2178.0546875,gcn,307.334517927,42,test,completed,20260515_134347
ogbl-collab,1.0,0.0,0.00024965048931495907,0.00014979029358897544,1145.4609375,2178.0546875,gcn,307.334517927,42,valid,completed,20260515_134347
ogbl-collab,1.0,0.0,0.0,0.0,1145.98046875,2179.1328125,gcn,366.6680433120018,42,test,completed,20260515_135141
ogbl-collab,1.0,0.0,4.993009786299181e-05,0.0,1145.98046875,2179.1328125,gcn,366.6680433120018,42,valid,completed,20260515_135141
ogbl-collab,1.0,0.0005827883183319304,0.002698094066351529,0.0018778734701806643,1160.5859375,2193.75,gcn,378.36035691899815,42,test,completed,20260515_135913
ogbl-collab,1.0,0.00031622395313228146,0.002013847280474003,0.001131748884894481,1160.5859375,2193.75,gcn,378.36035691899815,42,valid,completed,20260515_135913
ogbl-collab,0.1,0.10270025254160461,0.3167130738846079,0.24591508558354377,1098.38671875,2141.51171875,gcn,54.21011326699954,42,test,completed,20260515_145154
ogbl-collab,0.1,0.13053391917981494,0.368201185007656,0.28932827375008324,1098.38671875,2141.51171875,gcn,54.21011326699954,42,valid,completed,20260515_145154
ogbl-collab,0.1,0.10386582917826848,0.28284659716376354,0.21263139718103133,1098.43359375,2141.9921875,gcn,54.29346347699902,42,test,completed,20260515_145337
ogbl-collab,0.1,0.1273217495506291,0.32849011384062315,0.2505492310764929,1098.43359375,2141.9921875,gcn,54.29346347699902,42,valid,completed,20260515_145337
ogbl-collab,0.1,0.14211401066286775,0.29510673660126485,0.25301646916618103,22.296875,2142.86328125,gcn,53.363836958997126,123,test,completed,20260515_145431
ogbl-collab,0.1,0.1804973037747154,0.35089208441515213,0.3055888422874642,22.296875,2142.86328125,gcn,53.363836958997126,123,valid,completed,20260515_145431
ogbl-collab,0.1,0.09177836776101363,0.28094713894105205,0.19927043536445854,5.00390625,2178.05859375,gcn,53.673799894000695,456,test,completed,20260515_145525
ogbl-collab,0.1,0.11355768590639771,0.32040143798681847,0.22936222621663005,5.00390625,2178.05859375,gcn,53.673799894000695,456,valid,completed,20260515_145525
ogbl-collab,0.5,0.21690517818213215,0.4788577348960694,0.4111463662069114,22.078125,2151.765625,gcn,421.88685162899856,42,test,completed,20260515_150227
ogbl-collab,0.5,0.28138938818986753,0.5575361161041209,0.48991412023167563,22.078125,2151.765625,gcn,421.88685162899856,42,valid,completed,20260515_150227
ogbl-collab,0.1,0.08748300200738199,0.28437911459345117,0.22400656176476938,1098.3828125,2141.5390625,gcn,105.72164822300329,42,test,completed,20260515_150555
ogbl-collab,0.1,0.11041208974102923,0.3302210238998735,0.26497902935889756,1098.3828125,2141.5390625,gcn,105.72164822300329,42,valid,completed,20260515_150555
ogbl-collab,0.1,0.11817652010619699,0.2990135768093419,0.24293638973429169,20.19140625,2142.453125,gcn,104.5427707509989,123,test,completed,20260515_150740
ogbl-collab,0.1,0.14872511816789827,0.35330537247853006,0.29022701551161706,20.19140625,2142.453125,gcn,104.5427707509989,123,valid,completed,20260515_150740
ogbl-collab,0.1,0.10503140581493234,0.29545209264175787,0.21668933065682403,11.0,2176.55859375,gcn,104.42658936899898,456,test,completed,20260515_150925
ogbl-collab,0.1,0.1287697223886559,0.34102256840423406,0.25291258904200786,11.0,2176.55859375,gcn,104.42658936899898,456,valid,completed,20260515_150925
ogbl-collab,0.5,0.2096095318267176,0.4738716570614518,0.4010447020224913,26.10546875,2152.39453125,gcn,495.7217453080011,42,test,completed,20260515_151740
ogbl-collab,0.5,0.2713534385194062,0.555172758138606,0.47773117635310564,26.10546875,2152.39453125,gcn,495.7217453080011,42,valid,completed,20260515_151740
ogbl-collab,0.5,0.2199917977940383,0.47061235942929913,0.3991020742947182,1.546875,2170.578125,gcn,424.6269527780023,123,test,completed,20260515_152445
ogbl-collab,0.5,0.27836029558617936,0.5473004460422076,0.4742027827707876,1.546875,2170.578125,gcn,424.6269527780023,123,valid,completed,20260515_152445
ogbl-collab,0.5,0.22873362256901725,0.48546266917049796,0.41766496147121673,0.00390625,2181.375,gcn,423.50096952400054,456,test,completed,20260515_153149
ogbl-collab,0.5,0.28891218960122494,0.560814859197124,0.49399174489048664,0.00390625,2181.375,gcn,423.50096952400054,456,valid,completed,20260515_153149
ogbl-collab,1.0,0.3182671760668264,0.5377841093051868,0.4839301517408103,-703.44921875,1431.6171875,gcn,1179.3057834209976,42,test,completed,20260515_155128
ogbl-collab,1.0,0.39469742360695026,0.6254410491977898,0.5709673124292657,-703.44921875,1431.6171875,gcn,1179.3057834209976,42,valid,completed,20260515_155128
ogbl-collab,1.0,0.27757991754624534,0.518681603315418,0.4456172159986186,21.7109375,1439.6796875,gcn,1196.588282988003,123,test,completed,20260515_161125
ogbl-collab,1.0,0.34100592503827976,0.597363690832834,0.5229512016510219,21.7109375,1439.6796875,gcn,1196.588282988003,123,valid,completed,20260515_161125
ogbl-collab,0.1,0.0,0.0,0.0,-167.16796875,875.74609375,gcn,5003.836135693,42,test,completed,20260515_161318
ogbl-collab,0.1,0.0,0.0,0.0,-167.16796875,875.74609375,gcn,5003.836135693,42,valid,completed,20260515_161318
ogbl-collab,1.0,0.0,0.0,0.0,1132.75390625,2166.453125,gcn,1159.5299481139991,456,test,completed,20260515_163411
ogbl-collab,1.0,0.0,0.0,0.0,1132.75390625,2166.453125,gcn,1159.5299481139991,456,valid,completed,20260515_163411
