batch_size,dataset_scale,dropout,epochs,hidden_channels,learning_rate,method_name,num_layers,result_path,runtime_seconds,seed,status,tuning_score
65536,1.0,0.2,50,128,0.0005,gcn,3,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_014_gcn_scale_1_0_seed_42.json,146.41503052999906,42,completed,0.3024266027561414
65536,1.0,0.5,50,128,0.001,gcn,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_027_gcn_scale_1_0_seed_42.json,100.30718991700269,42,completed,0.30049597230543906
65536,1.0,0.0,50,256,0.001,gcn,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_009_gcn_scale_1_0_seed_42.json,190.02305862199864,42,completed,0.29786632048465483
65536,1.0,0.5,50,256,0.001,gcn,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_033_gcn_scale_1_0_seed_42.json,194.4820965109975,42,completed,0.2762465881099794
65536,1.0,0.0,50,128,0.0005,gcn,3,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_002_gcn_scale_1_0_seed_42.json,140.74454726200202,42,completed,0.2674089607882298
65536,1.0,0.0,50,128,0.001,gcn,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_003_gcn_scale_1_0_seed_42.json,98.24797540299915,42,completed,0.2660941348778377
65536,1.0,0.2,50,256,0.001,gcn,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_021_gcn_scale_1_0_seed_42.json,194.0781264269972,42,completed,0.26135077558085346
65536,1.0,0.0,50,256,0.0005,gcn,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_007_gcn_scale_1_0_seed_42.json,189.97762432300078,42,completed,0.25274615538246453
65536,1.0,0.2,50,256,0.0005,gcn,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_019_gcn_scale_1_0_seed_42.json,194.72089164400677,42,completed,0.2481525863790693
65536,1.0,0.2,50,256,0.0005,gcn,3,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_020_gcn_scale_1_0_seed_42.json,287.1832333029961,42,completed,0.24622195592836696
65536,1.0,0.2,50,128,0.001,gcn,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_015_gcn_scale_1_0_seed_42.json,101.53301079599623,42,completed,0.24217761800146462
65536,1.0,0.2,50,128,0.0005,gcn,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_013_gcn_scale_1_0_seed_42.json,101.69090919200244,42,completed,0.22924572265494975
65536,1.0,0.0,50,128,0.0005,gcn,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_001_gcn_scale_1_0_seed_42.json,98.32270709799923,42,completed,0.21707942214233406
65536,1.0,0.5,50,128,0.0005,gcn,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_025_gcn_scale_1_0_seed_42.json,100.29395511299663,42,completed,0.2146994208108648
65536,1.0,0.5,50,256,0.0005,gcn,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_212442_gcn_scale_1_0/20260502_212442_gcn_scale_1_0_run_031_gcn_scale_1_0_seed_42.json,194.10204685400095,42,completed,0.2046468277744491
