batch_size,dataset_scale,dropout,epochs,hidden_channels,learning_rate,method_name,num_layers,result_path,runtime_seconds,seed,status,tuning_score
65536,1.0,0.0,50,128,0.005,mlp,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_003_mlp_scale_1_0_seed_42.json,19.676946020998002,42,completed,0.05129485387124692
65536,1.0,0.5,50,256,0.005,mlp,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_033_mlp_scale_1_0_seed_42.json,22.739088073001767,42,completed,0.050312895279941414
65536,1.0,0.0,50,128,0.001,mlp,3,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_002_mlp_scale_1_0_seed_42.json,21.62107245099469,42,completed,0.04906464283336662
65536,1.0,0.5,50,128,0.01,mlp,3,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_030_mlp_scale_1_0_seed_42.json,22.673554772998614,42,completed,0.04533652885959656
65536,1.0,0.0,50,128,0.005,mlp,3,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_004_mlp_scale_1_0_seed_42.json,21.65980530599336,42,completed,0.043405898408894215
65536,1.0,0.2,50,128,0.005,mlp,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_015_mlp_scale_1_0_seed_42.json,20.30377576399769,42,completed,0.043322681579122564
65536,1.0,0.5,50,128,0.01,mlp,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_029_mlp_scale_1_0_seed_42.json,20.05037350099883,42,completed,0.043322681579122564
65536,1.0,0.0,50,128,0.01,mlp,3,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_006_mlp_scale_1_0_seed_42.json,21.70889583999815,42,completed,0.041491911324146195
65536,1.0,0.5,50,128,0.005,mlp,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_027_mlp_scale_1_0_seed_42.json,20.13733286599745,42,completed,0.036315824512349375
65536,1.0,0.0,50,256,0.001,mlp,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_007_mlp_scale_1_0_seed_42.json,21.69069427899376,42,completed,0.03000798881565808
65536,1.0,0.2,50,256,0.001,mlp,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_019_mlp_scale_1_0_seed_42.json,22.908784434002882,42,completed,0.024915118833632913
65536,1.0,0.5,50,256,0.001,mlp,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_031_mlp_scale_1_0_seed_42.json,22.807035999001528,42,completed,0.023333999067971508
65536,1.0,0.2,50,128,0.001,mlp,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_013_mlp_scale_1_0_seed_42.json,20.391452012001537,42,completed,0.022951201651021904
65536,1.0,0.5,50,128,0.001,mlp,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_025_mlp_scale_1_0_seed_42.json,20.06917102499574,42,completed,0.022185606817122696
65536,1.0,0.0,50,128,0.001,mlp,2,/home/husam/Desktop/YTU-YL/webmining/ogl-collab-implementation/results/raw/tuning/20260502_211032_mlp_scale_1_0/20260502_211032_mlp_scale_1_0_run_001_mlp_scale_1_0_seed_42.json,20.260957678001432,42,completed,0.021070501298182543
