dataset_name,dataset_scale,hits_at_10,hits_at_100,hits_at_50,memory_delta_mb,memory_mb,method_name,runtime_seconds,seed,split,status,timestamp
ogbl-collab,1.0,0.05732910272183729,0.25819680977357595,0.18057803967277516,16.828125,1807.09765625,mlp,106.35850337601732,42,test,completed,20260530_103041
ogbl-collab,1.0,0.08965781239597896,0.30956660675054926,0.22636642034485055,16.828125,1807.09765625,mlp,106.35850337601732,42,valid,completed,20260530_103041
ogbl-collab,1.0,0.055688661529495566,0.26026894601653394,0.1693755531092836,6.9921875,1810.08984375,mlp,105.68746013392229,123,test,completed,20260530_103227
ogbl-collab,1.0,0.08226815791225617,0.3138605951667665,0.2140003994407829,6.9921875,1810.08984375,mlp,105.68746013392229,123,valid,completed,20260530_103227
ogbl-collab,1.0,0.05642254311554318,0.25234734183772584,0.14299898551663104,3.00390625,1809.1328125,mlp,105.66065070102923,456,test,completed,20260530_103413
ogbl-collab,1.0,0.08992410625124825,0.306787164636176,0.191049197789761,3.00390625,1809.1328125,mlp,105.66065070102923,456,valid,completed,20260530_103413
ogbl-collab,0.1,0.08597206933022512,0.28765999697813466,0.2287983768266097,382.44921875,2184.59375,gcn,51.00089983502403,42,test,completed,20260530_103504
ogbl-collab,0.1,0.10869782304773318,0.32943878570002,0.26579455429065973,382.44921875,2184.59375,gcn,51.00089983502403,42,valid,completed,20260530_103504
ogbl-collab,0.1,0.0896414772604632,0.28955945520084614,0.20928576053875542,1.77734375,2193.55078125,gcn,50.88022885599639,123,test,completed,20260530_103555
ogbl-collab,0.1,0.11041208974102923,0.33263431196325144,0.24550629119233075,1.77734375,2193.55078125,gcn,50.88022885599639,123,valid,completed,20260530_103555
ogbl-collab,0.1,0.09238274083187636,0.26374409117399467,0.185995812558009,2.140625,2183.7734375,gcn,50.878832079004496,456,test,completed,20260530_103646
ogbl-collab,0.1,0.11385726649357567,0.3044737367685241,0.21704613541042542,2.140625,2183.7734375,gcn,50.878832079004496,456,valid,completed,20260530_103646
ogbl-collab,0.5,0.24108010101664185,0.4843186772863649,0.4225647002957111,1.91015625,2192.4140625,gcn,410.51946153806057,42,test,completed,20260530_104336
ogbl-collab,0.5,0.3065708008787697,0.5592503827974169,0.5002995805871779,1.91015625,2192.4140625,gcn,410.51946153806057,42,valid,completed,20260530_104336
ogbl-collab,0.5,0.24351917805262363,0.47941893846187056,0.4163267068143064,8.84375,2187.4765625,gcn,410.56728276098147,123,test,completed,20260530_105027
ogbl-collab,0.5,0.31056520870780907,0.5582184941082484,0.49462419279675124,8.84375,2187.4765625,gcn,410.56728276098147,123,valid,completed,20260530_105027
ogbl-collab,0.5,0.2085518789527078,0.47823177707267583,0.41008871333290164,3.0078125,2185.46484375,gcn,410.6132811229909,456,test,completed,20260530_105718
ogbl-collab,0.5,0.2676918980094534,0.5559549963384595,0.487966846415019,3.0078125,2185.46484375,gcn,410.6132811229909,456,valid,completed,20260530_105718
ogbl-collab,1.0,0.26721923633145545,0.5409354831746854,0.4657126206048048,31.12890625,2211.8671875,gcn,1144.1076181440149,42,test,completed,20260530_111622
ogbl-collab,1.0,0.3313361294188137,0.6248585313893882,0.5483489780973304,31.12890625,2211.8671875,gcn,1144.1076181440149,42,valid,completed,20260530_111622
ogbl-collab,1.0,0.3320382481814846,0.5406117118867232,0.4619137041593818,22.7890625,2224.75390625,gcn,1143.6918208641,123,test,completed,20260530_113526
ogbl-collab,1.0,0.4056321150389455,0.6233939151854071,0.5452033819319619,22.7890625,2224.75390625,gcn,1143.6918208641,123,valid,completed,20260530_113526
ogbl-collab,1.0,0.2769971292279134,0.534999676228712,0.45438062552612835,21.8671875,2225.75390625,gcn,1143.8578245380195,456,test,completed,20260530_115430
ogbl-collab,1.0,0.34829571932627656,0.6193329338925504,0.5394947074096266,21.8671875,2225.75390625,gcn,1143.8578245380195,456,valid,completed,20260530_115430
